,clean_text,sentiment
0,barang sesuai pesanan dan cepat sampai,positive
1,barang bagus harga murah,positive
2,paket rapi mantap cepat sampe ke tujuan,positive
3,ya saya puas dgn barangnya,positive
4,responya luar biasa b mantap,positive
5,seller top pengiriman cepat barang oke,positive
6,pengiriman cepat seller top,positive
7,produk sesuai dengan spec di web dan respon seller sangat cepat thankyou ,positive
8,respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjual thx gan,positive
9,barang mantap pelayanan cepat,positive
10,sippp sesuai pic dscrbs cuma blum dicoba ,positive
11,sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer untuk kualitas barang seperinya bagus walau saya belum coba terima kasih,negative
12,barang sesuai deskripsi respon dan proses cepat terima kasih,positive
13,mantaaaaaaaappp ,positive
14,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,positive
15,josss pokok e bisa buat langganan,positive
16,berfungsi dengan baik normal,positive
17,cara memberikan nilai reputasi ke penjual untuk dapat memberikan nilai reputasi ke penjual anda dapat melakukan langkah langkah berikut ini ,positive
18,barang sesuai dengan deskripsi pengiriman cepat gak pake lama barang bagus mantap dahh pokoknya thanks gan,positive
19,sesuai dengan deskripsi,positive
20,bagus packing aman pake bublewrap ndak ada yang patah,positive
21,barang sesuai deskripsi,positive
22,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,positive
23,barang sudah sampai sesuai pesanan ,positive
24,thanksssssssssssssss,negative
25,barang bagus sesuai info fast response,positive
26,barang ok pengriman cepet ,positive
27,barang sudah sy terima gan thanks,positive
28,paket telah diterima baik terima kasih,positive
29,barang bagus ga kecewa tapi kurang banyak nanti order lagi dah,positive
30,barang sudah di terima terima kasih ,positive
31,barang sudah diterima ,positive
32,sip udah sampe beberapa menit yg lalu oke sesuai pesanan dan gambar trimakasih kerjasamanya ,positive
33,sesuai deskripsi barangnya,positive
34,produk sesuai pesanan tp blm dcoba,positive
35,proses cepat dan mantap,positive
36,bagus sesuai dgn deskripsi thnks ,positive
37,produk sesuai gambar dan deskripsi produknya bagus dan harganya jg bagus recommended produk,positive
38,seller is good produknya mantap stars ya,positive
39,produk bagus sesuai deskripsi packing rapi pengiriman cepat hanya kurirnya yg agak telat thanks ,positive
40,mahmurah mantap barang sdh sampe thanks sukses selalu,positive
41,produk diterima utuh tersegel semoga awet,positive
42,sesuai order pengiriman cepat respon cepat,positive
43,respon dan proses dr penjual cepat barang sdh diterima stlh hari kualitas barang bagus recommended seller thanks,positive
44,mantap sesuai deskripsi trimakasih semoga barokah jualannya ,positive
45,makasih gan barang sesuai,positive
46,pengiriman cepat fast respon barang sesuai trims,positive
47,produknya bagus berkualitas dan berfungsi dg baik,positive
48,brg diterima dg baik amp lengkap,positive
49,great product amp great seller,positive
50,steplesnya sedikit lebih kecil dari staples khusu mollar saat ditembakan keluar dan jadi menumpuk yang keluar rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar,positive
51,sesuai dengan pesanan ,positive
52,produk berfungsi dgn baik,positive
53,produk sesuai dengan deskripsi tapi belum dicoba,positive
54,barang sesuai diskripsi dan layanan cepat,positive
55,sudah diterima terima kasih,positive
56,pesanan gx sesuai dgn yg d gambar,negative
57,sudah diterima dengan baik dan bisa di pakai ,positive
58,packing rapi dan respon cepat recommended ,positive
59,barang sudah diterima dg baik thx,positive
60,barang bagus kualitas sesuai harga,negative
61,terima kasih ,positive
62,pengiriman sangat cepat barang sesuai iklan berfungsi baik ,positive
63,kwalitas bagus sesuai dengan yang ditawarkan respons cepat,positive
64,sesuai yg diharapkan terimakasih ,positive
65,barangnya bagus pelayanan toko ini semuanya sangat memuaskan recomend ,positive
66,suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah diiiiteeeerimaaaaa,positive
67,pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor ,negative
68,produk sesuai deskripsi packing rapi rekomended ,positive
69,ok lah sesuai denggan harga ,negative
70,bukan merk kenmaster ternyata,positive
71,terimakasih barang sudah sampai,positive
72,bagus pengiriman cukup cepat,positive
73,siiiiiiiippppppppp ,positive
74,barang udh sampe mksh ,positive
75,terimakasih barangnya udah sampai ,positive
76,fast respon dan terbaiks,positive
77,makasih barang sudah sampai,positive
78,bagus top pengiriman cepat,positive
79,thanksss ,positive
80,merk beda tapi gpp yg penting ukrn sama,positive
81,lihat bintangnya aja dahhhhh,positive
82,bagus ,positive
83,barang sudah diterima ukuran sesuai deskripsi hanya mereknya beda dengan yang dikirim tetapi tidak masalah yang penting berfungsi dengan baik ,positive
84,barang sudah sampai tks ,positive
85,bagus terimakasih ,positive
86,barang sudah samapai gan dan bagus,positive
87,mantafff sangat sangat sesuai ,positive
88,barang sudah diterima dengan baik ,positive
89,pengiriman cepat kemasan bagus,positive
90,sesuai permintaan fast respon,positive
91,matab good sesuai permintaan ,positive
92,barang yg dikirim tidak sesuai pesanan,negative
93,barang lumayan kuat good,positive
94,sudah sampai murah meriah,positive
95,sudah di terima bos packing bagus aman,positive
96,makasih barang sesuai gambar,positive
97,langsung dipakai mantap thanks maaf baru kasi testi,positive
98,harganya murah tp isinya lumayan banyak n kuat pesan kmrn hr ini nyampe thanks toko besi timur jaya tokopedia n wahana,positive
99,ok ,positive
100,terimakasih barang sdh diterima,positive
101,unit nya sudah sampai thanks,positive
102,barang sudah sampai terima kasih,negative
103,ga nyampe sejam dr mulai transaksi udah nyampe rumah mksh,positive
104,good cepat packing aman ,positive
105,barang sangat bagus sesuai diskripsi,positive
106,mantap sampai dengan aman gan ,positive
107,barang udah nyampe om makasihhhhh,positive
108,recomended ,positive
109,barang sesuai pengiriman cepat ok,positive
110,mantab fast respone tx u ,positive
111,barang bagus packing cukup kurir ramah,positive
112,mantapppp banget ,positive
113,produk sesuai dan bagus thanks,positive
114,php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,negative
115,terima kasih semoga bermanfaat ,positive
116,barang sesuai gambar dan diterima dalam kondisi baik,positive
117,trmksih banyak juragan atas kerjasamanya ,positive
118,keren produk nya mantaps,positive
119,barangnya sesuai syn digambar,positive
120,barang bagus packing rapi pokoknya top bgt,positive
121,sesuai dengan apa yg sudah dijelaskan pada detail produk,positive
122,barang cepat sampai tapi belum dicoba besoklah kucoba dulu ya baru testi lagi thx,positive
123,fast respon barang sesuai dengan di gambar,negative
124,barang bagus pengiriman cepat recomended,positive
125,barang dah nyampek trimakasih,positive
126,barang sudah diterima dengan baik dan sesuai,positive
127,cepet respon a pesen pagi siang udh sampe,positive
128,mantab cepat sekali pengiriman pesan pagi siang udah dteng barangnya jg bagus thx,positive
129,trimsssssss ,positive
130,barang bagus pengiriman cepat ,positive
131,sudah terima dan respon cepat ,positive
132,terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,positive
133,pelayanan memuaskan gan ,positive
134,barang sudah sampai tujuan dengan cepat gan mkash,positive
135,recsell ,positive
136,keren bagus sangat berguna sekali,positive
137,barang sesuai gambar packing rapihlah pengiriman standar dan harga terjangkau terima kasih,positive
138,belum dicoba klo ok nanti bintang nya saya tambah,positive
139,recomended seller semoga awet,positive
140,barang oke terima kasih,negative
141,barang bagus berfungsi dgn baik ,positive
142,barangnya datang tepat waktu,positive
143,barang sudah diterima dengan baik dan pengiriman yg cepat terima kasih ,positive
144,mantap gun tackernya gan,positive
145,gooooooooooooooooooood,positive
146,seller merespon dengan cepat dengan proses pengiriman yang juga cepat barang dipacking rapi dan berkualitas baru bnib stapler gun sudah termasuk isinya dan ada jenis ukuran ,positive
147,sesuai deskripsi lumayan lah buat pertama kali,negative
148,barang jelek copot terus tmpat taro isinya,negative
149,barang dah sampe cepat rapi dan respon penjual baik,positive
150,barang sudah diterima dalam kondisi bagus sudah di test terimakasih,positive
151,produk bagus dan respon cepat ,positive
152,terima kasih seller barang baru sampai tapi kurang teliti mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain ,negative
153,mantap rekomen seller barang bagus,positive
154,barang sesuai deskripsi pengiriman cepat thanks ,positive
155,delivery cepat packing rapih produk sesuai deskripsi gambar trims ya gan,positive
156,barang sudah sampai langsung dicoba n lancar jaya thanks seller ,positive
157,mantaps brng sesuai dan cepat responnya,positive
158,barang sesuai gambar respon penjual cepat,positive
159,barang di terima sesuai spek,positive
160,barang telah tiba sesuai gambar ,positive
161,barang sudah di terima thank u,positive
