,text,sentiment
0,Barang sesuai pesanan dan cepat sampai,positive
1,Barang bagus harga murah,positive
2,Paket rapi...mantap....cepat....sampe ke tujuan,positive
3,ya saya puas dgn barangnya,positive
4,Responya luar biasa b mantap,positive
5,"seller top, pengiriman cepat barang oke",positive
6,pengiriman cepat seller top,positive
7,Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,positive
8,"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",positive
9,"Barang mantap, pelayanan cepat",positive
10,"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",positive
11,Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,negative
12,Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,positive
13,Mantaaaaaaaappp..........,positive
14,superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,positive
15,josss pokok e bisa buat langganan,positive
16,"berfungsi dengan baik, normal",positive
17,"Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",positive
18,Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,positive
19,Sesuai dengan deskripsi,positive
20,"bagus,  packing aman pake bublewrap.  ndak ada yang patah",positive
21,Barang sesuai deskripsi,positive
22,cukuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuupp,positive
23,barang sudah sampai sesuai pesanan .,positive
24,Thanksssssssssssssss,negative
25,Barang bagus sesuai info fast response,positive
26,"barang ok....
pengriman cepet....",positive
27,barang sudah sy terima gan thanks,positive
28,paket telah diterima baik.. Terima kasih,positive
29,"Barang bagus, ga kecewa, tapi kurang banyak, nanti order lagi dah",positive
30,"barang sudah di terima, terima kasih ....",positive
31,Barang sudah diterima .........,positive
32,sip. udah sampe beberapa menit yg lalu. oke sesuai pesanan dan gambar. trimakasih kerjasamanya.,positive
33,sesuai deskripsi barangnya,positive
34,Produk sesuai pesanan tp blm dcoba,positive
35,Proses cepat dan mantap,positive
36,sesuai deskripsi barangnya,positive
37,Bagus sesuai dgn deskripsi thnks.,positive
38,Produk sesuai gambar dan deskripsi. Produknya bagus dan harganya jg bagus. Recommended produk,positive
39,seller is good. produknya mantap. 5 stars ya,positive
40,"Produk bagus, sesuai deskripsi, packing rapi, pengiriman cepat, hanya kurirnya yg agak telat.. thanks..",positive
41,"Mahmurah mantap... Barang sdh sampe,, thanks sukses selalu",positive
42,Produk diterima utuh tersegel.. semoga awet,positive
43,"Sesuai order, pengiriman cepat, respon cepat",positive
44,Respon dan proses dr penjual cepat. Barang sdh diterima stlh 2 hari. Kualitas barang bagus. Recommended seller. Thanks,positive
45,Mantap. Sesuai deskripsi. Trimakasih semoga barokah jualannya.,positive
46,"Makasih gan, barang sesuai",positive
47,Pengiriman cepat. Fast respon. Barang sesuai. Trims,positive
48,"Produknya bagus, berkualitas, dan berfungsi dg baik",positive
49,brg diterima dg baik&amp; lengkap,positive
50,Great Product &amp; Great Seller,positive
51,"Steplesnya sedikit lebih kecil dari staples khusu mollar, saat ditembakan keluar 2 dan jadi menumpuk yang keluar. Rekomennya sih mending cari isi yang khusus mollar jk staplesnya merk mollar",positive
52,Sesuai dengan pesanan..............,positive
53,Produk berfungsi dgn baik,positive
54,"produk sesuai dengan deskripsi, tapi belum dicoba",positive
55,Barang sesuai diskripsi dan layanan cepat,positive
56,"Sudah diterima, terima kasih",positive
57,Pesanan gx sesuai dgn yg d gambar,negative
58,Sudah diterima dengan baik dan bisa di pakai.,positive
59,Packing rapi dan respon cepat... recommended..!,positive
60,Barang sudah diterima dg baik. Thx,positive
61,"Barang bagus, kualitas sesuai harga",negative
62,Terima kasih..........,positive
63,"Pengiriman sangat cepat, Barang sesuai iklan, berfungsi baik, 👍👍👍",positive
64,kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,positive
65,Sesuai yg diharapkan. Terimakasih.,positive
66,"Barangnya bagus, pelayanan toko ini semuanya sangat memuaskan...recomend.",positive
67,suuuuuuuuuuuuuuuuuuuuuudaaaaaaaah Diiiiteeeerimaaaaa,positive
68,Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,negative
69,"Produk sesuai deskripsi, packing rapi.. rekomended..!",positive
70,Ok lah.. sesuai denggan harga.,negative
71,bukan merk kenmaster ternyata,positive
72,Terimakasih barang sudah sampai,positive
73,"Bagus..
Pengiriman cukup cepat",positive
74,Siiiiiiiippppppppp...,positive
75,Barang udh sampe...mksh....,positive
76,Terimakasih barangnya udah sampai.,positive
77,Fast respon dan terbaiks,positive
78,makasih barang sudah sampai,positive
79,Bagus.......top pengiriman cepat,positive
80,thanksss........................,positive
81,Merk beda tapi gpp yg penting ukrn sama,positive
82,Lihat bintangnya aja dahhhhh,positive
83,"bagus ,....................    ........",positive
84,"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",positive
85,Barang sudah sampai....tks..,positive
86,"Bagus,,,,,, terimakasih .......",positive
87,"barang sudah samapai gan, dan bagus",positive
88,"mantafff, sangat-sangat sesuai,,,",positive
89,Barang sudah diterima dengan baik...,positive
90,"Pengiriman cepat, Kemasan bagus",positive
91,SESUAI PERMINTAAN.. FAST RESPON,positive
92,Matab...good...sesuai permintaan...,positive
93,barang yg dikirim tidak sesuai pesanan,negative
94,barang lumayan kuat.... good,positive
95,sudah sampai murah meriah,positive
96,"sudah di terima bos
packing bagus, aman",positive
97,"makasih, barang sesuai gambar",positive
98,langsung dipakai. mantap. thanks. maaf baru kasi testi,positive
99,"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",positive
100,ok.....................................,positive
101,terimakasih barang sdh diterima,positive
102,Unit nya sudah sampai....thanks,positive
103,Barang sudah sampai.. terima kasih,negative
104,ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,positive
105,"good.......cepat, packing aman.....",positive
106,Barang sangat bagus sesuai diskripsi,positive
107,mantap sampai dengan aman gan.............................,positive
108,barang udah nyampe om makasihhhhh,positive
109,recomended....................................,positive
110,"barang sesuai, pengiriman cepat, ok",positive
111,mantab... fast respone.. tx u..,positive
112,"Barang bagus, packing cukup, kurir ramah",positive
113,Mantapppp banget ......,positive
114,produk sesuai dan bagus. thanks,positive
115,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",negative
116,Terima kasih semoga bermanfaat..,positive
117,Barang sesuai gambar dan diterima dalam kondisi baik,positive
118,"Trmksih banyak juragan....
Atas kerjasamanya.....",positive
119,Keren produk nya mantaps,positive
120,Barangnya sesuai syn digambar,positive
121,"barang bagus...packing rapi,pokoknya top bgt",positive
122,ok..................     . ..     .         ..,positive
123,Sesuai dengan apa yg sudah dijelaskan pada detail produk,positive
124,"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",positive
125,Fast respon. Barang sesuai dengan di gambar,negative
126,"Barang bagus,pengiriman cepat,recomended",positive
127,barang dah nyampek. trimakasih,positive
128,barang sudah diterima dengan baik dan sesuai,positive
129,"cepet respon'a
pesen pagi, siang udh sampe",positive
130,"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",positive
131,Trimsssssss...................,positive
132,barang Bagus pengiriman cepat ..........,positive
133,sudah terima dan respon cepat.....................................,positive
134,terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,positive
135,pelayanan memuaskan gan.....................................,positive
136,barang sudah sampai tujuan dengan cepat gan mkash,positive
137,Recsell👍👍👍👍,positive
138,Keren bagus sangat berguna sekali,positive
139,"Barang sesuai gambar, packing rapihlah,
Pengiriman standar dan harga terjangkau..

Terima kasih",positive
140,"Belum dicoba, klo ok nanti bintang nya saya tambah",positive
141,Recomended seller semoga awet,positive
142,Barang oke terima kasih,negative
143,"Barang bagus, berfungsi dgn baik....",positive
144,Barangnya datang tepat waktu,positive
145,Barang sudah diterima dengan baik dan pengiriman yg cepat. Terima kasih.,positive
146,mantap gun tackernya gan,positive
147,Gooooooooooooooooooood,positive
